Time (GMT-04:00),Transverse accel - peaks,Longitudinal accel - peaks,Heat flux - average,Skin temp - average,Transverse accel - average,Longitudinal accel - average,Near-body temp - average,Transverse accel - MAD,Longitudinal accel - MAD,Step Counter,GSR - average,Lying down,Sleep,Physical Activity,Energy expenditure,Sedentary,Moderate,Vigorous,Very Vigorous,METS
39015.0145833,225.0,238.0,86.5252227783,31.8176307678,-0.208183676004,0.790667831898,31.4895210266,0.742040812969,0.552207648754,0.0,0.0637443885207,0.0,0.0,0.0,1.89783000946,1.0,0.0,0.0,0.0,1.43451213837
39015.0152778,205.0,193.0,86.5975646973,31.8614902496,-0.0597755126655,0.924536347389,31.5331840515,0.824489831924,0.552207648754,0.0,0.0637443885207,0.0,0.0,0.0,1.94827485085,1.0,0.0,0.0,0.0,1.47264194489
39015.0159722,246.0,226.0,81.9785003662,31.883430481,-0.043285716325,0.920352935791,31.5768737793,0.972898006439,0.702809691429,3.0,0.0630116015673,0.0,0.0,0.0,2.01982975006,1.0,0.0,0.0,0.0,1.52672815323
39015.0166667,312.0,303.0,83.5043563843,31.9273300171,0.0103061217815,0.949636697769,31.5987281799,1.35216331482,1.00401389599,12.0,0.0630116015673,0.0,0.0,0.0,2.15361976624,1.0,0.0,0.0,0.0,1.62785589695
39015.0173611,126.0,135.0,82.9220657349,31.9273300171,-0.224673479795,0.903619408607,31.6205883026,0.527673482895,0.435072660446,0.0,0.0637443885207,0.0,0.0,0.0,1.71987318993,1.0,0.0,0.0,0.0,1.30000007153
39015.0180556,36.0,13.0,84.704864502,31.9492893219,-0.37308165431,0.937086522579,31.6424560547,0.148408174515,0.0669342577457,0.0,0.0637443885207,0.0,0.0,0.0,1.71987318993,1.0,0.0,0.0,0.0,1.30000007153
39015.01875,25.0,31.0,91.1489639282,31.9712562561,-0.364836752415,0.932903110981,31.6205883026,0.115428574383,0.100401386619,0.0,0.0637443885207,0.0,0.0,0.0,1.63065874577,1.0,0.0,0.0,0.0,1.23256552219
39015.0194444,175.0,173.0,94.8958587646,31.9492893219,-0.237040817738,0.853418707848,31.5987281799,0.939918398857,0.836678206921,8.0,0.0622788183391,0.0,0.0,0.0,1.78970193863,1.0,0.0,0.0,0.0,1.35278141499
39015.0201389,256.0,343.0,104.58404541,31.8395576477,-0.237040817738,0.778117656708,31.4676971436,2.02824497223,1.63988935947,12.0,0.0989206656814,0.0,0.0,0.0,2.24180746078,1.0,0.0,0.0,0.0,1.6945142746
39015.0208333,520.0,549.0,113.778556824,31.6424560547,0.364836752415,0.77393424511,31.2498264313,3.44636750221,2.86143946648,3.0,0.0776677429676,0.0,0.0,0.0,2.7378153801,1.0,0.0,0.0,0.0,2.06943178177
39015.0215278,104.0,83.0,113.981719971,31.5987281799,-0.579204082489,0.0669411793351,31.2063274384,0.494693875313,0.351404845715,0.0,0.115777716041,0.0,0.0,0.0,1.71987318993,1.0,0.0,0.0,0.0,1.30000007153
39015.0291667,33.0,25.0,64.7168273926,31.8176307678,-0.946102082729,-0.029276818037,31.5331840515,0.115428574383,0.117134951055,0.0,0.0073261144571,1.0,0.0,0.0,1.58727228642,1.0,0.0,0.0,0.0,1.19977104664
39015.0298611,0.0,0.0,62.3028488159,31.9712562561,-0.950224518776,-0.029276818037,31.6862106323,0.0329795926809,0.0334671288729,0.0,0.00879136379808,1.0,0.0,0.0,1.50066769123,1.0,0.0,0.0,0.0,1.13430917263
39015.0305556,0.0,0.0,63.064666748,32.1031951904,-0.950224518776,-0.0334602072835,31.8176307678,0.0494693890214,0.0167335644364,0.0,0.0109892524779,1.0,0.0,0.0,1.43399512768,1.0,0.0,0.0,0.0,1.08391344547
39015.03125,0.0,0.0,64.0931549072,32.2133331299,-0.950224518776,-0.0334602072835,31.9273300171,0.0494693890214,0.0167335644364,0.0,0.0124545227736,1.0,0.0,0.0,1.39641523361,1.0,0.0,0.0,0.0,1.05550789833
39015.0319444,12.0,12.0,63.9236564636,32.3015670776,-0.900755107403,-0.0627439469099,32.037197113,0.0659591853619,0.0669342577457,0.0,0.0153850885108,1.0,0.0,0.0,1.44102525711,1.0,0.0,0.0,0.0,1.08922731876
